DLL Path: C:\Windows\System32\uwfcfgmgmt.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CDevice@@QEAA@XZ                                                                                  0xcfeb4190                                         
?ResetUwfSettings@CUwfManagement@@QEAAJXZ                                                            0xf62f1530                                         
?SendIOCTL@CDevice@@QEAAJKPEAXK0KPEAK@Z                                                              0x5efe9898                                         
?SetBinaryValue@CUwfRegKey@@QEAAJPEBGPEAEK@Z                                                         0x24ba136e                                         
?SetBootStatusPolicy@@YAJPEBG@Z                                                                      0x57bea2d4                                         
?SetDWORDValue@CUwfRegKey@@QEAAJPEBGK@Z                                                              0xe2b29f4e                                         
?SetMultiSzValue@CUwfRegKey@@QEAAJPEBGQEAU_MULTISZ@@@Z                                               0x93aec73e                                         
?SetOverlayFileSize@CUwfStaticConfiguration@@QEAAJK@Z                                                0x4be1c809                                         
?SetQWORDValue@CUwfRegKey@@QEAAJPEBG_K@Z                                                             0x7e39415a                                         
?SetServiceStartType@@YAJPEBGK@Z                                                                     0x13539358                                         
?SetSzValue@CUwfRegKey@@QEAAJPEBG0@Z                                                                 0x0aa7f840                                         
?ShutdownSystem@CUwfManagement@@QEAAJ_N@Z                                                            0xceb38260                                         
?UNLOCK@CUwfProvider@@QEAAXXZ                                                                        0xee9b2bf2                                         
?UpdateDWORDValue@CUwfConfiguration@@QEAAJAEAVCUwfRegKey@@PEBGK_N@Z                                  0x8804fc7c                                         
?UpdateMultiSzValue@CUwfConfiguration@@QEAAJAEAVCUwfRegKey@@PEBGQEAU_MULTISZ@@_N@Z                   0xd37a28cc                                         
?UpdateQWORDValue@CUwfConfiguration@@QEAAJAEAVCUwfRegKey@@PEBG_K_N@Z                                 0x97a14308                                         
?UpdateSzValue@CUwfConfiguration@@QEAAJAEAVCUwfRegKey@@PEBG1_N@Z                                     0xfddf0f2f                                         
?ValidateFileNameToBeCommitted@@YA?AW4FILE_COMMIT_VALIDATE_RESULT@@_NPEBG11@Z                        0x133e709a                                         
?ValidateRegistryKeyValueToBeCommitted@@YA?AW4REG_COMMIT_VALIDATE_RESULT@@_N0PEBG1KPEAPEAG@Z         0x298482d3                                         
?VolumeGetConfig@@YAJPEAVCUwfStaticConfiguration@@PEBG1PEAPEAVCUwfStaticVolumeConfiguration@@@Z      0xb655a56f                                         
?VolumeGetVolumeGuid@@YAJPEBGPEAGK@Z                                                                 0xe6d43fc1                                         
?get_BindingType@CUwfStaticVolumeConfiguration@@QEAAJPEAK@Z                                          0xd6fd8f4a                                         
?get_DiskNumber@CUwfStaticVolumeConfiguration@@QEAAJPEAK@Z                                           0x801c4ce1                                         
?get_DiskSignature@CUwfStaticVolumeConfiguration@@QEAAJPEAK@Z                                        0xc69d6aea                                         
?get_DriveLetter@CUwfStaticVolumeConfiguration@@QEAAJPEAPEAG@Z                                       0xef7a6429                                         
?get_FileExclusions@CUwfStaticVolumeConfiguration@@QEAAJPEAPEAU_MULTISZ@@@Z                          0xe077b871                                         
?get_HORMEnabled@CUwfConfiguration@@QEAAJPEA_N@Z                                                     0xdf81d190                                         
?get_HORMEnabled@CUwfManagement@@QEAAJPEA_N@Z                                                        0x9f14f355                                         
?get_IsNoFileExclusion@CUwfStaticConfiguration@@QEAAJPEA_N@Z                                         0xaa6f750a                                         
?get_IsNoRegExclusion@CUwfStaticConfiguration@@QEAAJPEA_N@Z                                          0xbf0c8c88                                         
?get_NumVolumes@CUwfStaticConfiguration@@QEAAJPEAK@Z                                                 0x508f4170                                         
?get_OverlayCriticalThreshold@CUwfConfiguration@@QEAAJPEAK@Z                                         0xa74b9107                                         
?get_OverlayCriticalThreshold@CUwfManagement@@QEAAJPEAK@Z                                            0x2cbc64cc                                         
?get_OverlayFlags@CUwfManagement@@QEAAJ_NPEAK@Z                                                      0x33c7ec8e                                         
?get_OverlayFlags@CUwfStaticConfiguration@@QEAAJPEAK@Z                                               0xefd3eae4                                         
?get_OverlayInformation@CUwfManagement@@QEAAJPEBGPEAU_UWFVOL_OVERLAY_DATA_OUTPUT@@PEAK2@Z            0x2d91e481                                         
?get_OverlayMaximumSize@CUwfManagement@@QEAAJ_NPEAK@Z                                                0x201cee7a                                         
?get_OverlayMaximumSize@CUwfStaticConfiguration@@QEAAJPEAK@Z                                         0x190e0b50                                         
?get_OverlayType@CUwfManagement@@QEAAJ_NPEAW4_UWF_CONFIG_OVERLAY_TYPE@@@Z                            0x1d1fd6eb                                         
?get_OverlayType@CUwfStaticConfiguration@@QEAAJPEAW4_UWF_CONFIG_OVERLAY_TYPE@@@Z                     0x7db89de1                                         
?get_OverlayWarningThreshold@CUwfConfiguration@@QEAAJPEAK@Z                                          0xdef75732                                         
?get_OverlayWarningThreshold@CUwfManagement@@QEAAJPEAK@Z                                             0x7a0ae2d7                                         
?get_PartitionGUID@CUwfStaticVolumeConfiguration@@QEAAJPEAPEAG@Z                                     0x11cbe9c2                                         
?get_PartitionNumber@CUwfStaticVolumeConfiguration@@QEAAJPEAK@Z                                      0x448d49b0                                         
?get_PartitionOffset@CUwfStaticVolumeConfiguration@@QEAAJPEA_K@Z                                     0xf51b52cd                                         
?get_PartitionStyle@CUwfStaticVolumeConfiguration@@QEAAJPEAW4_PARTITION_STYLE@@@Z                    0xe862c001                                         
?get_PersistDomainSecretKey@CUwfStaticConfiguration@@QEAAJPEA_N@Z                                    0xa5bff5a8                                         
?get_PersistTSCAL@CUwfStaticConfiguration@@QEAAJPEA_N@Z                                              0xfd4d0978                                         
?get_Protected@CUwfStaticVolumeConfiguration@@QEAAJPEA_N@Z                                           0xf0f4c299                                         
?get_RegKeyExclusions@CUwfStaticConfiguration@@QEAAJPEAPEAU_MULTISZ@@@Z                              0x92c73e60                                         
?get_RegKeyExclusionsUWFSpecific@CUwfStaticConfiguration@@QEAAJPEAPEAU_MULTISZ@@@Z                   0x305cbd78                                         
?get_ResetPersistentOverlay@CUwfManagement@@QEAAJPEAK@Z                                              0x6fdc4788                                         
?get_ResetPersistentStateSavedMode@CUwfManagement@@QEAAJ_NPEAK@Z                                     0x46c7802c                                         
?get_ResetPersistentStateSavedMode@CUwfStaticConfiguration@@QEAAJPEAK@Z                              0x6bd180c2                                         
?get_RomModeDisposition@CUwfManagement@@QEAAJPEAW4_UWFVOL_ROM_MODE_DISPOSITION@@@Z                   0x96e3dd41                                         
?get_RomModeDisposition@CUwfVolumeDevice@@QEAAJPEAW4_UWFVOL_ROM_MODE_DISPOSITION@@@Z                 0x32d1ddac                                         
?get_ServicingModeEnabled@CUwfStaticConfiguration@@QEAAJPEA_N@Z                                      0x1786a771                                         
?get_StaticConfiguration@CUwfConfiguration@@QEAAJ_NPEAPEAVCUwfStaticConfiguration@@@Z                0xb57ce0b0                                         
?get_StaticVolumeConfiguration@CUwfStaticConfiguration@@QEAAJKPEAPEAVCUwfStaticVolumeConfiguration@@@Z 0xafea90e6                                         
?get_StaticVolumeConfiguration@CUwfStaticConfiguration@@QEAAJPEBG0PEAPEAVCUwfStaticVolumeConfiguration@@@Z 0x66d88929                                         
?get_StaticVolumeConfiguration@CUwfStaticConfiguration@@QEAAJPEBGPEAPEAVCUwfStaticVolumeConfiguration@@@Z 0x995c7af9                                         
?get_SwapfileSize@CUwfStaticVolumeConfiguration@@QEAAJPEAK@Z                                         0xcdaa4043                                         
?get_UwfConfiguration@CUwfManagement@@QEAAJPEAPEAVCUwfConfiguration@@@Z                              0xf2438d4a                                         
?get_UwfEnabled@CUwfStaticConfiguration@@QEAAJPEA_N@Z                                                0xc560ea54                                         
?get_UwfEnabledBeforeServicing@CUwfConfiguration@@QEAAJPEAK@Z                                        0x2fc1ab67                                         
?get_VolumeGuid@CUwfStaticVolumeConfiguration@@QEAAJPEAPEAG@Z                                        0x842340e0                                         
?set_BindingType@CUwfStaticVolumeConfiguration@@QEAAJK@Z                                             0xac346d00                                         
?set_DiskNumber@CUwfStaticVolumeConfiguration@@QEAAJK@Z                                              0xf5594877                                         
?set_DiskSignature@CUwfStaticVolumeConfiguration@@QEAAJK@Z                                           0x54055fa0                                         
?set_DriveLetter@CUwfStaticVolumeConfiguration@@QEAAJPEBG@Z                                          0x1a98d5a0                                         
?set_HORMEnabled@CUwfConfiguration@@QEAAJ_N0@Z                                                       0x74dcc836                                         
?set_HORMEnabled@CUwfManagement@@QEAAJ_N@Z                                                           0xb6d819eb                                         
?set_HORMEnabled@CUwfVolumeDevice@@QEAAJ_N@Z                                                         0x97da9a36                                         
?set_NumVolumes@CUwfStaticConfiguration@@QEAAJK@Z                                                    0x3ca93666                                         
?set_OverlayCriticalThreshold@CUwfConfiguration@@QEAAJK@Z                                            0x9a7ea15d                                         
?set_OverlayCriticalThreshold@CUwfManagement@@QEAAJK@Z                                               0xf8c9aec2                                         
?set_OverlayCriticalThreshold@CUwfVolumeDevice@@QEAAJK@Z                                             0x6146bbed                                         
?set_OverlayFlags@CUwfManagement@@QEAAJK@Z                                                           0x245b4cd7                                         
?set_OverlayFlags@CUwfStaticConfiguration@@QEAAJK@Z                                                  0x10a5075a                                         
?set_OverlayMaximumSize@CUwfManagement@@QEAAJK@Z                                                     0x81884443                                         
?set_OverlayMaximumSize@CUwfStaticConfiguration@@QEAAJK@Z                                            0xe5cd1846                                         
?set_OverlayType@CUwfManagement@@QEAAJW4_UWF_CONFIG_OVERLAY_TYPE@@@Z                                 0xd9a7aef4                                         
?set_OverlayType@CUwfStaticConfiguration@@QEAAJW4_UWF_CONFIG_OVERLAY_TYPE@@@Z                        0x45800337                                         
?set_OverlayWarningThreshold@CUwfConfiguration@@QEAAJK@Z                                             0x9338fde8                                         
?set_OverlayWarningThreshold@CUwfManagement@@QEAAJK@Z                                                0x49e75f2d                                         
?set_OverlayWarningThreshold@CUwfVolumeDevice@@QEAAJK@Z                                              0x70923318                                         
?set_PartitionGUID@CUwfStaticVolumeConfiguration@@QEAAJPEBG@Z                                        0x778d2cd9                                         
?set_PartitionNumber@CUwfStaticVolumeConfiguration@@QEAAJK@Z                                         0xf13b7726                                         
?set_PartitionOffset@CUwfStaticVolumeConfiguration@@QEAAJ_K@Z                                        0x35d117c3                                         
?set_PartitionStyle@CUwfStaticVolumeConfiguration@@QEAAJW4_PARTITION_STYLE@@@Z                       0x0bdb1937                                         
?set_PersistDomainSecretKey@CUwfStaticConfiguration@@QEAAJ_N@Z                                       0x64bcc31e                                         
?set_PersistTSCAL@CUwfStaticConfiguration@@QEAAJ_N@Z                                                 0xf0dfa9ee                                         
?set_Protected@CUwfStaticVolumeConfiguration@@QEAAJ_N@Z                                              0x85d0c32f                                         
?set_RegKeyExclusionsUWFSpecific@CUwfStaticConfiguration@@QEAAJPEAU_MULTISZ@@@Z                      0x6acbf94e                                         
?set_ResetPersistentOverlay@CUwfManagement@@QEAAJK@Z                                                 0xee5f37fe                                         
?set_ResetPersistentStateSavedMode@CUwfManagement@@QEAAJK@Z                                          0x2bfbbf35                                         
?set_ResetPersistentStateSavedMode@CUwfStaticConfiguration@@QEAAJK@Z                                 0xdcc70378                                         
?set_RomModeDisposition@CUwfManagement@@QEAAJW4_UWFVOL_ROM_MODE_DISPOSITION@@@Z                      0xc9db3e37                                         
?set_RomModeDisposition@CUwfVolumeDevice@@QEAAJW4_UWFVOL_ROM_MODE_DISPOSITION@@@Z                    0xab5f3182                                         
?set_ServicingModeEnabled@CUwfManagement@@QEAAJ_N0@Z                                                 0x2e64bcb4                                         
?set_ServicingModeEnabled@CUwfStaticConfiguration@@QEAAJ_N@Z                                         0xb380ae87                                         
?set_SwapfileSize@CUwfStaticVolumeConfiguration@@QEAAJK@Z                                            0x41dd3a19                                         
?set_UwfBootPersistenceEnabled@CUwfConfiguration@@QEAAJ_N@Z                                          0x3a311abb                                         
?set_UwfEnabled@CUwfStaticConfiguration@@QEAAJ_N@Z                                                   0xc475a54a                                         
?set_UwfEnabledBeforeServicing@CUwfConfiguration@@QEAAJK@Z                                           0x665c293d                                         
?set_VolumeGuid@CUwfStaticVolumeConfiguration@@QEAAJPEBG@Z                                           0x907a9437                                         
MultiSzAdd                                                                                           0x31f425e6                                         
MultiSzAlloc                                                                                         0x7f99cb28                                         
MultiSzCompare                                                                                       0x6e3fd404                                         
MultiSzFind                                                                                          0x707bb77e                                         
MultiSzFree                                                                                          0x707bdc9f                                         
MultiSzReAlloc                                                                                       0xd67793bf                                         
MultiSzRemove                                                                                        0x99fcc68b                                         
UwfCfgAddFileExclusion                                                                               0x39c07e8a                                         
UwfCfgAddRegExclusion                                                                                0xd6c43508                                         
UwfCfgAddVolume                                                                                      0x4d3856e8                                         
UwfCfgCommitFile                                                                                     0x28f51d30                                         
UwfCfgCommitFileDeletion                                                                             0x61a00944                                         
UwfCfgCommitRegistry                                                                                 0x7facdfc9                                         
UwfCfgCommitRegistryDeletion                                                                         0x6b5954dd                                         
UwfCfgDoesFileExclusionExist                                                                         0x0bc415f9                                         
UwfCfgDoesRegExclusionExist                                                                          0x85e732f7                                         
UwfCfgDoesVolumeExist                                                                                0x23411757                                         
UwfCfgGetCriticalThreshold                                                                           0x38d298ff                                         
UwfCfgGetDriveLetter                                                                                 0x6acafbf1                                         
UwfCfgGetFileExclusions                                                                              0x23979e34                                         
UwfCfgGetFilterEnabled                                                                               0x1ad00ef8                                         
UwfCfgGetHormEnabled                                                                                 0xede30508                                         
UwfCfgGetOverlayCommitState                                                                          0xe934c0b3                                         
UwfCfgGetOverlayFlags                                                                                0x03ac6816                                         
UwfCfgGetOverlayInformation                                                                          0x53e880af                                         
UwfCfgGetOverlayMaximumSize                                                                          0x6e941002                                         
UwfCfgGetOverlayType                                                                                 0x002465cb                                         
UwfCfgGetPersistDomainSecretKey                                                                      0x6b3849b8                                         
