DLL Path: C:\Windows\System32\msdart.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
?Begin@CLKRLinearHashTable@@QEAA?AVCLKRLinearHashTable_Iterator@@XZ                                  0x6955e2b8                                         
?BucketIndex@CLKRHashTableStats@@SAJJ@Z                                                              0x4a2e7ae3                                         
?BucketSize@CLKRHashTableStats@@SAJJ@Z                                                               0x618b51a6                                         
?BucketSizes@CLKRHashTableStats@@SAPEBJXZ                                                            0x2f5051be                                         
?CheckTable@CLKRHashTable@@QEBAHXZ                                                                   0xe35b08d5                                         
?CheckTable@CLKRLinearHashTable@@QEBAHXZ                                                             0x6f978b10                                         
?ClassName@CCritSec@@SAPEBGXZ                                                                        0x26481faf                                         
?ClassName@CFakeLock@@SAPEBGXZ                                                                       0xf06f9ca2                                         
?ClassName@CLKRHashTable@@SAPEBGXZ                                                                   0xc5a24e37                                         
?ClassName@CLKRLinearHashTable@@SAPEBGXZ                                                             0xb8575892                                         
?ClassName@CLKRhashDefaultAllocator@@UEAAPEBGXZ                                                      0x478f553d                                         
?ClassName@CReaderWriterLock2@@SAPEBGXZ                                                              0x192959cd                                         
?ClassName@CReaderWriterLock3@@SAPEBGXZ                                                              0x9e860f0e                                         
?ClassName@CReaderWriterLock3AR@@SAPEBGXZ                                                            0xd9cd2e01                                         
?ClassName@CReaderWriterLock@@SAPEBGXZ                                                               0xd7edb43b                                         
?ClassName@CSmallSpinLock@@SAPEBGXZ                                                                  0xc5cf4f7e                                         
?ClassName@CSpinLock@@SAPEBGXZ                                                                       0x476c2665                                         
?Clear@CLKRHashTable@@QEAAXXZ                                                                        0xeb976d05                                         
?Clear@CLKRLinearHashTable@@QEAAXXZ                                                                  0x20fe2400                                         
?ConvertExclusiveToShared@CCritSec@@QEAAXXZ                                                          0xc9660f69                                         
?ConvertExclusiveToShared@CFakeLock@@QEAAXXZ                                                         0x0d4c197c                                         
?ConvertExclusiveToShared@CLKRHashTable@@QEBAXXZ                                                     0x7c1962f2                                         
