DLL Path: C:\Windows\System32\rtmpal.dll
----------------------------------------------------------------------------------------------------------------------------------------------------------------
Function Name                                                                                        Function Djb2 Hash
----------------------------------------------------------------------------------------------------------------------------------------------------------------
??0CheckedMutex@auf@@QEAA@PEBD_N@Z                                                                   0xcdcad5e3                                         
RtcPalDevicePlatformEnumDevices                                                                      0x1bd2b0b8                                         
RtcPalDevicePlatformGetAudioCertifiedListId                                                          0x3710f72a                                         
RtcPalDevicePlatformGetAutoBoostControlEnabled                                                       0x698d840c                                         
RtcPalDevicePlatformGetDeviceList                                                                    0xd42fa08c                                         
RtcPalDevicePlatformGetHIDInformation                                                                0x44098cdb                                         
RtcPalDevicePlatformGetMediaExtension                                                                0x82a47e1d                                         
RtcPalDevicePlatformGetVolumeInfo                                                                    0x2244cbe4                                         
RtcPalDevicePlatformGetVolumeInfoByDeviceHandle                                                      0x50c1be1b                                         
RtcPalDevicePlatformIsSamePhysicalDevice                                                             0xb9004a8f                                         
RtcPalDevicePlatformOpen                                                                             0x731613f2                                         
RtcPalDevicePlatformOpenAudioDevice                                                                  0x12d294d4                                         
RtcPalDevicePlatformOpenAudioLoopbackDevice                                                          0xc9e314bf                                         
RtcPalDevicePlatformOpenHIDContext                                                                   0x0611260c                                         
RtcPalDevicePlatformRegisterNotification                                                             0xd2cebc6c                                         
RtcPalDevicePlatformSetAutoBoostControlEnabled                                                       0x9f2de998                                         
RtcPalDevicePlatformSetHIDInformation                                                                0x264024e7                                         
RtcPalDevicePlatformSetState                                                                         0xfa9f87ed                                         
RtcPalDevicePlatformSetVolumeInfo                                                                    0xdab93df0                                         
RtcPalDevicePlatformUnregisterNotification                                                           0xc8237b6f                                         
RtcPalEnableCallContextTracingControl                                                                0xd4ee75bc                                         
RtcPalEnableEtwTracing                                                                               0xb7c4f0aa                                         
RtcPalEnableRDTSCTime                                                                                0xab0b4921                                         
RtcPalEnableTracing                                                                                  0x628532fa                                         
RtcPalFlushTracing                                                                                   0xfb036f95                                         
RtcPalFreeIfAddrs                                                                                    0xc0b46daa                                         
RtcPalFreeMemoryWithTag                                                                              0xad424a9e                                         
RtcPalFreeWorkItem                                                                                   0xea64953f                                         
RtcPalGetADSPConfig                                                                                  0x389f0569                                         
RtcPalGetADSPLogFolder                                                                               0x1e8abc31                                         
RtcPalGetAllEcsSettings                                                                              0x7bcf0d50                                         
RtcPalGetAssertRecords                                                                               0xfa61098f                                         
RtcPalGetBestSourceAddress                                                                           0x383a7510                                         
RtcPalGetComputerNameW                                                                               0x1270c452                                         
RtcPalGetDataConvSignature                                                                           0xccd1718d                                         
RtcPalGetEcsSetting                                                                                  0x22b18304                                         
RtcPalGetExitCodeThread                                                                              0x1c115d98                                         
RtcPalGetFipsComplianceMode                                                                          0xb20e8f9d                                         
RtcPalGetHostCName                                                                                   0xbc16456d                                         
RtcPalGetIfAddrs                                                                                     0x32010d28                                         
RtcPalGetLastError                                                                                   0xa2a69c69                                         
RtcPalGetLocalStateFolderW                                                                           0xc78785aa                                         
RtcPalGetMachineInfo                                                                                 0xda1ad58c                                         
RtcPalGetOSName                                                                                      0x1db6018e                                         
RtcPalGetPeerName                                                                                    0xefdffc38                                         
RtcPalGetPlatformProfile                                                                             0x40126ee1                                         
RtcPalGetPrivateMemoryUsageInMB                                                                      0x67cd88ba                                         
RtcPalGetSockName                                                                                    0xb142dd9c                                         
RtcPalGetSocketIOCPQueuedCompletionStatus                                                            0x8f297846                                         
RtcPalGetSystemConfigurationInfo                                                                     0x61bd0534                                         
RtcPalGetSystemMetricsTemplate                                                                       0xbfaeb903                                         
RtcPalGetTimeDouble                                                                                  0xacf3a955                                         
RtcPalGetTimeLongIn100ns                                                                             0xe60d7ed3                                         
RtcPalGetTimeLongIn100nsFast                                                                         0x1baebec1                                         
RtcPalGetTracingPath                                                                                 0x3e3d3540                                         
RtcPalGetUserName                                                                                    0xc2d8772b                                         
RtcPalGetWinSATVideoEncodeScore                                                                      0xc1842942                                         
RtcPalInitCollectSystemMetrics                                                                       0xcb042981                                         
RtcPalInitThreadAttr                                                                                 0x4bc1fbd2                                         
RtcPalInitTracing                                                                                    0x576ea267                                         
RtcPalInitializeCriticalSection                                                                      0x5feac6fd                                         
RtcPalInitializeCriticalSectionAndSpinCount                                                          0x8a4ce133                                         
RtcPalInitializeSlimLock                                                                             0xa605b8fb                                         
RtcPalIsAssertTraceEnabled                                                                           0xf80eb093                                         
RtcPalIsAutomaticProxyTraversalSupported                                                             0xcf5adc6a                                         
RtcPalIsCallContextTracingControlEnabled                                                             0xaa1a73dc                                         
RtcPalIsEtwTracingEnabled                                                                            0x98127faa                                         
RtcPalIsLaptop                                                                                       0xf130e6b7                                         
RtcPalIsTracingEnabled                                                                               0x6df3ac1a                                         
RtcPalListen                                                                                         0x230ab0fa                                         
RtcPalLoadLibrary                                                                                    0x06d85a40                                         
RtcPalLoadSystem32Library                                                                            0x325481aa                                         
RtcPalMFHasDXGI                                                                                      0x2ddfb386                                         
RtcPalMFHasSourceReader                                                                              0x5741a95e                                         
RtcPalNetAddressToStringA                                                                            0x38947033                                         
RtcPalNetAddressToStringW                                                                            0x38947049                                         
RtcPalNetCleanup                                                                                     0x90f6843a                                         
RtcPalNetStartup                                                                                     0x73049f45                                         
RtcPalNetStringToIPAddressA                                                                          0xbeea322c                                         
RtcPalNetStringToIPAddressW                                                                          0xbeea3242                                         
RtcPalNetStringToIPv4AddressA                                                                        0x9bfcd0d6                                         
RtcPalNetStringToIPv4AddressW                                                                        0x9bfcd0ec                                         
RtcPalNetStringToIPv6AddressA                                                                        0x84f5b2d8                                         
RtcPalNetStringToIPv6AddressW                                                                        0x84f5b2ee                                         
RtcPalPerfCounterToNanoseconds                                                                       0x3e053c16                                         
RtcPalPerfCounterToSeconds                                                                           0x10431b2a                                         
RtcPalPopulateNetworkInterfaceIdForTraceLoggingEvent                                                 0x835954fc                                         
RtcPalPostSocketIOCPQueuedCompletionStatus                                                           0x9f77cfec                                         
RtcPalQueryPerformanceCounter                                                                        0xc48406d3                                         
RtcPalQueueWorkItem                                                                                  0xd7e75b02                                         
RtcPalRecv                                                                                           0x9f314cfb                                         
RtcPalRecvFrom                                                                                       0x40dda8af                                         
RtcPalRefreshMemoryTrackerCallStack                                                                  0xb4472271                                         
RtcPalRegCloseKey                                                                                    0xf37bcfc8                                         
RtcPalRegCreateKeyExA                                                                                0x1b6a3f64                                         
RtcPalRegCreateKeyExW                                                                                0x1b6a3f7a                                         
RtcPalRegDeleteKeyW                                                                                  0xc0a2e23c                                         
RtcPalRegOpenKeyExA                                                                                  0xcde479a2                                         
RtcPalRegOpenKeyExW                                                                                  0xcde479b8                                         
RtcPalRegQueryValueExA                                                                               0xd3a2d59a                                         
RtcPalRegQueryValueExW                                                                               0xd3a2d5b0                                         
RtcPalRegSetValueExA                                                                                 0xce2e9df0                                         
RtcPalRegSetValueExW                                                                                 0xce2e9e06                                         
RtcPalRegisterSocket                                                                                 0x36759f39                                         
RtcPalRegisterTraceGuids                                                                             0xc8728dbb                                         
RtcPalReleaseSemaphore                                                                               0x81f29cf0                                         
RtcPalReleaseSlimLock                                                                                0x44c4428a                                         
RtcPalReportAssert                                                                                   0x2397d279                                         
RtcPalResetAllEcsSettings                                                                            0x2c030413                                         
RtcPalResetEvent                                                                                     0xfe8c9730                                         
RtcPalSecureZeroMemory                                                                               0xd21a208b                                         
RtcPalSend                                                                                           0x9f31dab5                                         
RtcPalSendTo                                                                                         0x33136738                                         
RtcPalSetAesKey                                                                                      0x743cb959                                         
RtcPalSetEcsSetting                                                                                  0xdb25f510                                         
RtcPalSetEcsSettingById                                                                              0x38603a98                                         
RtcPalSetEvent                                                                                       0x516a9a59                                         
RtcPalSetLastError                                                                                   0xee0efcf5                                         
RtcPalSetLogPath                                                                                     0x61119da6                                         
RtcPalSetPlatformProfile                                                                             0x691c086d                                         
RtcPalSetSchedulerPolicy                                                                             0x6583b986                                         
RtcPalSocketEnableLowLatency                                                                         0x84d7b19d                                         
RtcPalSocketSetBroadcast                                                                             0x0335f113                                         
RtcPalSocketSetLinger                                                                                0x3d3fa421                                         
RtcPalSocketSetNonBlockingMode                                                                       0x7513d939                                         
RtcPalSocketSetQoSDSCP                                                                               0x721a329d                                         
RtcPalSocketSetRecvBufSize                                                                           0xa6533b08                                         
RtcPalSocketSetSendBufSize                                                                           0x9067d382                                         
RtcPalSocketSetTcpNoDelay                                                                            0x2c90d453                                         
RtcPalStartCollectSystemMetrics                                                                      0x9d0f6bdb                                         
RtcPalStartup                                                                                        0xb79aa7be                                         
RtcPalStopCollectSystemMetrics                                                                       0xfd3a5c93                                         
RtcPalTaskQueueCreate                                                                                0x8f9403d7                                         
RtcPalTaskQueueDequeue                                                                               0xb19f8b91                                         
RtcPalTaskQueueDestroy                                                                               0xb1c366cd                                         
RtcPalTaskQueueEnqueue                                                                               0x139835fb                                         
RtcPalTraceCondIfTrue                                                                                0xdaee30ed                                         
RtcPalTraceLoggingWrite                                                                              0x636c2f6c                                         
RtcPalTraceRt                                                                                        0xffe21540                                         
RtcPalTryAcquireSlimLock                                                                             0x932136b2                                         
RtcPalUninitCollectSystemMetrics                                                                     0x03ddf8c4                                         
RtcPalWaitAndCancelPendingCallback                                                                   0x7e2032cb                                         
RtcPalWaitForAllThreads                                                                              0x9f39c70b                                         
RtcPalWaitForAnyObject                                                                               0xaa6d5246                                         
RtcPalWaitForSingleObject                                                                            0x7835a080                                         
RtcPalWlanEnterMediaStreamingMode                                                                    0xc595ccca                                         
RtcPalWlanLeaveMediaStreamingMode                                                                    0xc68acff9                                         
SetLastError                                                                                         0x6beb4b6f                                         
TraceMessage                                                                                         0xb11ed659                                         
UnregisterTraceGuids                                                                                 0xf9d70f38                                         
WideCharToMultiByte                                                                                  0xe65d31ce                                         
__imp_?PL_TEMP_DIR@spl@@3UPathLocation@1@A                                                           0x5bb5fe45                                         
aufLogHookInstall                                                                                    0xf230cbab                                         
aufLogHookRemove                                                                                     0x13ed13a2                                         
auf_internal_log                                                                                     0x6bec9b3e                                         
auf_internal_log_obfuscated                                                                          0x0e9646fd                                         
auf_logcomponent_isenabled                                                                           0x8f2e437b                                         
g_aufLogChannel                                                                                      0xbfa8dc82                                         
g_aufLogNumHooks                                                                                     0xdd9ca3dd                                         
lstrcmpW                                                                                             0xd2bfde01                                         
lstrcmpiW                                                                                            0x2abba0ca                                         
lstrlenA                                                                                             0xd2c4ab0a                                         
lstrlenW                                                                                             0xd2c4ab20                                         
rtcpal_freeaddrinfo                                                                                  0x438ea7d3                                         
rtcpal_getaddrinfo                                                                                   0xc1e31f31                                         
rtcpal_inet_addr                                                                                     0xdc0f7154                                         
rtcpal_inet_ntoa                                                                                     0xdc16d7ab                                         
rtcpal_recv                                                                                          0xba1e969a                                         
rtcpal_recvfrom                                                                                      0x3e9635ee                                         
rtcpal_send                                                                                          0xba1f2454                                         
rtcpal_sendto                                                                                        0xbe7998b7                                         
spl_pii_OmitS                                                                                        0x95afa9e0                                         
spl_pii_OmitW                                                                                        0x95afa9e4                                         
spl_pii_UserIdW                                                                                      0x9bd46a17                                         
threadCurrentId                                                                                      0x3b96c00d                                         
threadYield                                                                                          0x2db4e694                                         
